match_id,round_number,side,site_hit,won,first_death_player,first_death_role,traded_within_5s,utility_used_before_first_death
1,1,ATK,A,0,EntryPlayer,Entry,0,0
1,2,ATK,B,0,EntryPlayer,Entry,0,0
1,3,ATK,A,1,IGL,Flex,1,1
1,4,DEF,A,0,IGL,Flex,0,1
1,5,DEF,B,0,EntryPlayer,Entry,0,0
2,1,ATK,A,1,EntryPlayer,Entry,1,1
2,2,ATK,B,1,SecondDuelist,Duelist,1,1
2,3,DEF,A,0,Anchor,Sentinel,1,1
2,4,DEF,B,1,Support,Initiator,1,1
3,1,ATK,A,0,EntryPlayer,Entry,0,0
3,2,ATK,A,0,EntryPlayer,Entry,0,0
3,3,DEF,C,0,IGL,Flex,0,1
3,4,DEF,B,0,EntryPlayer,Entry,0,0
4,1,ATK,A,0,EntryPlayer,Entry,0,0
4,2,ATK,C,1,SecondDuelist,Duelist,1,1
4,3,DEF,B,0,IGL,Flex,0,1
4,4,DEF,A,0,EntryPlayer,Entry,0,0
5,1,ATK,A,1,EntryPlayer,Entry,1,1
5,2,ATK,B,1,EntryPlayer,Entry,1,1
5,3,DEF,A,1,Support,Initiator,1,1
5,4,DEF,B,1,Anchor,Sentinel,1,1
